Species ID,Order,Family,Genus,Species,Genus.species,Authority,Synonyms,Common names (Eng),Red List status,Red List criteria
55112,ANURA,AROMOBATIDAE,Allobates,masniger,Allobates.masniger,"(Morales, 2002)",Colostethus masniger  ,,DD,
55113,ANURA,AROMOBATIDAE,Allobates,mcdiarmidi,Allobates.mcdiarmidi,"(Reynolds & Foster, 1992)",Colostethus mcdiarmidi  ,,NT,
55114,ANURA,AROMOBATIDAE,Allobates,melanolaemus,Allobates.melanolaemus,"(Grant & Rodríguez, 2001)",Colostethus melanolaemus  ,,DD,
55228,ANURA,AROMOBATIDAE,Allobates,myersi,Allobates.myersi,"(Pyburn, 1981)",Epipedobates myersi  ,,LC,
55120,ANURA,AROMOBATIDAE,Allobates,nidicola,Allobates.nidicola,"(Caldwell & Lima, 2003)",Colostethus nidicola  ,,DD,
136098,ANURA,AROMOBATIDAE,Allobates,niputidea,Allobates.niputidea,"Grant, Acosta & Rada, 2007",,,LC,
55122,ANURA,AROMOBATIDAE,Allobates,olfersioides,Allobates.olfersioides,"(Lutz, 1925)",Colostethus olfersioides|Eupemphix olfersioides  |Phyllobates alagoanus  |Phyllobates capixaba  |Phyllobates carioca  ,Rio Rocket Frog,VU,A2a; B2ab(iii)
55123,ANURA,AROMOBATIDAE,Allobates,ornatus,Allobates.ornatus,"(Morales, 2002)",Colostethus ornatus  ,,DD,
190492,ANURA,AROMOBATIDAE,Allobates,paleovarzensis,Allobates.paleovarzensis,"Lima, Caldwell, Biavati & Montanarin, 2010",,,NT,
55131,ANURA,AROMOBATIDAE,Allobates,picachos,Allobates.picachos,"(Ardila-Robayo, Acosta-Galvis & Coloma, 2000)",Allobates picacho  |Colostethus picachos  ,,DD,
61765,ANURA,AROMOBATIDAE,Allobates,pittieri,Allobates.pittieri,"(La Marca, Manzanilla & Mijares-Urrutia, 2004)",Colostethus pittieri  ,,LC,
55141,ANURA,AROMOBATIDAE,Allobates,ranoides,Allobates.ranoides,"(Boulenger, 1918)",Colostethus ranoides  |Colostethus ranoides  ,,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
55147,ANURA,AROMOBATIDAE,Allobates,sanmartini,Allobates.sanmartini,"(Rivero, Langone & Prigione, 1986)",Colostethus sanmartini  ,,DD,
135872,ANURA,AROMOBATIDAE,Allobates,spumaponens,Allobates.spumaponens,"Kok & Ernst, 2007",,,DD,
135892,ANURA,AROMOBATIDAE,Allobates,subfolionidificans,Allobates.subfolionidificans,"(Lima, Sanchez & Souza, 2007)",Colostethus subfolionidificans  ,,VU,D2
55153,ANURA,AROMOBATIDAE,Allobates,sumtuosus,Allobates.sumtuosus,"(Morales, 2002)",Colostethus sumtuosus  ,,DD,
55155,ANURA,AROMOBATIDAE,Allobates,talamancae,Allobates.talamancae,"(Cope, 1875)",Colostethus talamancae|Dendrobates talamancae|Hylaplesia talamancae|Phyllobates  talamancae,Talamanca Rocket Frog,LC,
55160,ANURA,AROMOBATIDAE,Allobates,trilineatus,Allobates.trilineatus,"(Boulenger, 1883)",Colostethus trilineatus  ,,LC,
55161,ANURA,AROMOBATIDAE,Allobates,undulatus,Allobates.undulatus,"(Myers & Donnelly, 2001)",Colostethus undulatus  ,,DD,
55163,ANURA,AROMOBATIDAE,Allobates,vanzolinius,Allobates.vanzolinius,"(Morales, 2002)",Colostethus vanzolinius  ,,DD,
55166,ANURA,AROMOBATIDAE,Allobates,wayuu,Allobates.wayuu,"(Acosta, Cuentas & Coloma, 1999)",Colostethus wayuu  ,,VU,D2
55039,ANURA,AROMOBATIDAE,Allobates,zaparo,Allobates.zaparo,"(Silverstone, 1976)",,"Sanguine Poison Frog, Zaparo's Poison Frog",LC,
58426,ANURA,DICROGLOSSIDAE,Allopaa,hazarensis,Allopaa.hazarensis,"(Dubois & Khan, 1979)",Nanorana hazarensis|Paa hazarensis|Rana barmoachensis|Rana hazarensis,"Kashmir Paa Frog, Hazara Torrent Frog, Hazara Frog",LC,
59659,ANURA,ALLOPHRYNIDAE,Allophryne,ruthveni,Allophryne.ruthveni,"Gaige, 1926",,Tukeit Hill Frog,LC,
56313,ANURA,ALSODIDAE,Alsodes,australis,Alsodes.australis,"Formas, Ubeda, Cuevas & Nuñez, 1997",,,DD,
928,ANURA,ALSODIDAE,Alsodes,barrioi,Alsodes.barrioi,"Veloso, Díaz, Iturra-C. & Penna, 1981",,Cabreria Spiny-chest Frog,VU,A3c
76338143,ANURA,ALSODIDAE,Alsodes,cantillanensis ,Alsodes.cantillanensis ,"Charrier, Correa-Quezada, Castro & Méndez-Torres, 2015",,Cantillana Spiny-chest Frog,CR,B1ab(iii)
56314,ANURA,ALSODIDAE,Alsodes,gargola,Alsodes.gargola,"Gallardo, 1970",Alsodes gargola subspecies neuquensis,Tonchek Spiny-chest Frog,LC,
56315,ANURA,ALSODIDAE,Alsodes,hugoi,Alsodes.hugoi,"Cuevas & Formas, 2001",,,DD,
61800,ANURA,ALSODIDAE,Alsodes,igneus,Alsodes.igneus,"Cuevas & Formas, 2005",,,DD,
