Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
430	-2215.61	-1822.21	-393.397	140.994	0.654848	8.76e-05	0.637672	0.017176	0.189622	0.178787	0.033479	0.231925	0.26296	0.103226	0.895073	0.970668	1.02528	1.10898	-4.0575	0.37047	0.161767	0.152384	0.31538	0.637672
440	-2214.38	-1817.57	-396.811	66.2297	0.580033	9.21565e-05	0.548989	0.0310436	0.286254	0.190873	0.0325078	0.211001	0.195098	0.0842658	0.848417	0.955909	1.03547	1.1602	-4.03547	0.383528	0.167422	0.157755	0.291294	0.548989
450	-2204.72	-1826.79	-377.925	93.6641	1.24106	0.0001098	1.21753	0.0235318	0.290693	0.162113	0.0330119	0.230485	0.198124	0.0855726	0.871886	0.963472	1.03043	1.13421	-3.9594	0.368298	0.15931	0.16719	0.305202	1.21753
460	-2212.35	-1828.22	-384.128	118.656	1.21068	8.2168e-05	1.17288	0.0377954	0.2738	0.225866	0.0459942	0.153151	0.171494	0.129695	0.885841	0.967835	1.02735	1.11897	-4.0853	0.373094	0.154729	0.158172	0.314005	1.17288
470	-2210.98	-1822.45	-388.529	118.477	0.934464	0.000102846	0.8996	0.0348636	0.182039	0.245252	0.0305798	0.211883	0.186545	0.143701	0.885756	0.967809	1.02737	1.11907	-3.98781	0.353978	0.176991	0.155689	0.313343	0.8996
480	-2205.69	-1821.9	-383.793	111.2	1.36173	0.000103902	1.33712	0.0246139	0.201494	0.215256	0.0194184	0.197267	0.237611	0.128954	0.882166	0.966696	1.02817	1.12297	-3.98338	0.36504	0.173982	0.143597	0.317381	1.33712
490	-2195.97	-1812.07	-383.905	321.086	0.990122	8.95947e-05	0.954825	0.0352972	0.198463	0.212018	0.0746395	0.1943	0.231214	0.0893664	0.929981	0.981002	1.01722	1.0718	-4.04772	0.346711	0.188075	0.161514	0.3037	0.954825
500	-2215	-1826.23	-388.777	125.288	0.737796	0.000121984	0.708902	0.0288943	0.250093	0.300474	0.0531874	0.138456	0.193428	0.0643611	0.888834	0.968758	1.02668	1.11573	-3.9137	0.366428	0.180348	0.146761	0.306462	0.708902
510	-2219.61	-1821.69	-397.919	91.9927	0.647241	9.15476e-05	0.623561	0.0236802	0.188584	0.266142	0.0600015	0.131048	0.229252	0.124972	0.870759	0.963115	1.03068	1.13545	-4.03835	0.362485	0.178407	0.155943	0.303165	0.623561
520	-2227.17	-1818.83	-408.342	435.817	0.517649	8.56315e-05	0.489654	0.0279957	0.242262	0.22195	0.0590779	0.101461	0.252201	0.123049	0.939786	0.983799	1.01489	1.06153	-4.06737	0.37743	0.171054	0.16877	0.282746	0.489654
530	-2243.53	-1826.77	-416.762	243.414	0.748348	6.23431e-05	0.725786	0.0225619	0.207955	0.237106	0.0394118	0.0796517	0.277671	0.158204	0.919744	0.978033	1.01962	1.0826	-4.20521	0.375609	0.170229	0.141255	0.312908	0.725786
