Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
470	-11789.9	-10886.2	-903.678	0.623472	1.80343	0.000591195	1.76846	0.0349753	0.195064	0.217349	0.0341206	0.153774	0.286628	0.113064	0.0579825	0.32507	0.892837	2.72411	-3.22827	0.327567	0.148365	0.167371	0.356697	1.76846
480	-11787.1	-10881.1	-906.01	0.715188	1.74632	0.000592562	1.70604	0.0402869	0.182477	0.226604	0.0393329	0.144334	0.272435	0.134818	0.077435	0.370609	0.930369	2.62159	-3.22727	0.325348	0.151144	0.168972	0.354536	1.70604
490	-11785.5	-10881.5	-903.963	0.652959	1.64918	0.000594521	1.61274	0.0364463	0.171748	0.235507	0.0408782	0.150005	0.283139	0.118723	0.064183	0.340463	0.906106	2.68925	-3.22583	0.320147	0.153116	0.174085	0.352653	1.61274
500	-11798.6	-10891.3	-907.265	0.684081	1.71177	0.000590134	1.68808	0.0236861	0.176025	0.256629	0.0404593	0.145886	0.266928	0.114073	0.0707917	0.355921	0.918824	2.65446	-3.22905	0.327494	0.159808	0.170037	0.342661	1.68808
510	-11799.6	-10886.2	-913.424	0.822756	1.18019	0.00055483	1.14657	0.0336136	0.170537	0.258507	0.0404749	0.145942	0.267031	0.117508	0.100391	0.416137	0.963066	2.52041	-3.25584	0.33076	0.161705	0.163085	0.34445	1.14657
520	-11804.8	-10892.1	-912.644	0.731661	1.3981	0.00054548	1.35682	0.0412813	0.159154	0.235373	0.0308452	0.194935	0.275777	0.103916	0.0809598	0.378093	0.936059	2.60489	-3.26322	0.316721	0.151543	0.165483	0.366252	1.35682
530	-11803.4	-10890.1	-913.337	0.617031	2.07265	0.000522146	2.05167	0.0209845	0.181072	0.233727	0.0336451	0.136578	0.300811	0.114167	0.0566386	0.321607	0.889765	2.73199	-3.28221	0.33071	0.15074	0.172975	0.345575	2.05167
540	-11800.5	-10893.1	-907.307	0.786155	1.59264	0.000546307	1.57828	0.014369	0.180212	0.221451	0.0376385	0.13136	0.305193	0.124146	0.0926094	0.4015	0.953043	2.55285	-3.26256	0.315847	0.151183	0.177073	0.355896	1.57828
550	-11804.8	-10898.8	-906.045	1.00341	1.6507	0.000556715	1.62764	0.0230528	0.178684	0.219574	0.0417419	0.130246	0.302606	0.127148	0.137633	0.477774	1.00056	2.38403	-3.25437	0.330884	0.145168	0.172704	0.351243	1.62764
560	-11797.1	-10882.9	-914.158	0.79218	1.70294	0.000602911	1.68866	0.0142791	0.185466	0.231217	0.0403405	0.125873	0.294225	0.122879	0.0938937	0.403966	0.954764	2.54738	-3.21975	0.335497	0.158757	0.166705	0.339041	1.68866
