Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
320	-14453	-14435.2	-17.8561	0.577894	0.0480109	0.00409539	1.02711	0.000656131	0.000447979	0.00644878	0.00836165	0.119609	0.115351	0.00505524	0.00385286	0.0922126	0.0540931	0.000328384	0.481296	0.0303623	0.222	1.01875	0.072225	0.247607	0.0859332	0.256738	0.114313	0.199062	0.163034	0.101624	0.170418	0.282172	0.08369	0.048583	0.299759	0.869608	2.78205	0.294898	0.183007	0.220819	0.301276	4.01486
330	-14453.7	-14439.3	-14.4213	0.5825	0.0322834	0.00110598	0.811134	0.000290362	0.00366083	0.00671736	0.00853556	0.0887581	0.141123	0.00310406	0.00155056	0.113525	0.042487	0.000359933	0.529853	0.0306523	0.163743	1.08101	0.0754525	0.124997	0.069939	0.271142	0.069921	0.19867	0.162712	0.101424	0.170082	0.281615	0.0854973	0.0495199	0.302404	0.872121	2.77595	0.293722	0.186265	0.219939	0.300074	3.67135
340	-14449.3	-14436.1	-13.201	0.605874	0.0313161	0.000858895	0.880289	0.000548055	0.0015564	0.00759219	0.000723129	0.0788957	0.0774681	0.00200715	0.00208011	0.113474	0.0600771	0.00167195	0.461681	0.0522307	0.162875	0.883473	0.11164	0.212991	0.0735502	0.228304	0.103906	0.196751	0.161141	0.100444	0.16335	0.293642	0.0846716	0.0543218	0.315522	0.884286	2.74587	0.293187	0.188492	0.218794	0.299527	3.54921
350	-14449.1	-14436.9	-12.1641	0.599658	0.045514	0.000236968	0.827175	0.00041493	0.00169694	0.00936762	0.00398792	0.0762289	0.080673	0.0025009	0.00124486	0.0935635	0.0589126	0.00110306	0.45456	0.0462824	0.17196	0.938119	0.0796704	0.183311	0.0530906	0.21677	0.0991597	0.18375	0.216572	0.0938069	0.152556	0.274239	0.0790766	0.0530375	0.312082	0.881144	2.75374	0.293187	0.188492	0.218794	0.299527	3.44554
360	-14449.2	-14431.1	-18.104	0.592189	0.0462439	0.000201251	1.21841	0.00103239	0.00174476	0.0110422	0.0023646	0.0767922	0.136038	0.00123995	0.00194326	0.105603	0.0610206	0.00106328	0.625537	0.0592323	0.231415	0.751205	0.070808	0.164945	0.0726808	0.319367	0.0796505	0.183951	0.197731	0.106796	0.117516	0.302304	0.091701	0.0515011	0.307902	0.877281	2.76332	0.293187	0.188492	0.218794	0.299527	4.03958
370	-14449.3	-14431.5	-17.8702	0.592189	0.0442424	0.000990665	1.2116	0.00155833	0.00289933	0.00636962	0.00273525	0.119779	0.105995	0.00274868	0.00209656	0.088871	0.0422135	0.00174949	0.525295	0.026906	0.196246	0.862365	0.0754208	0.230513	0.0941356	0.237375	0.134092	0.186126	0.199435	0.096871	0.118905	0.305877	0.092785	0.0515011	0.307902	0.877281	2.76332	0.293187	0.188492	0.218794	0.299527	4.0162
380	-14456.2	-14439	-17.2381	0.57108	0.0328119	0.00701883	1.2116	0.00506607	0.00632751	0.00978437	0.00289483	0.099509	0.137227	0.00248484	0.000835744	0.104146	0.0365846	0.00763026	0.464311	0.028697	0.189188	0.851928	0.0894052	0.226172	0.0634419	0.263995	0.11203	0.184057	0.199942	0.0971172	0.119208	0.306655	0.0930209	0.0472035	0.295809	0.865816	2.79117	0.293187	0.188492	0.218794	0.299527	3.95309
390	-14453.3	-14432.4	-20.8248	0.576258	0.0448566	0.00302509	1.03943	0.00376827	0.00137658	0.00996069	0.00393675	0.111992	0.161913	0.00250097	0.000596914	0.120092	0.0616234	0.00477551	0.701292	0.041807	0.168026	1.04567	0.0802676	0.20993	0.0733246	0.327256	0.0943171	0.176213	0.19444	0.124087	0.116582	0.298216	0.0904611	0.0482511	0.298815	0.868706	2.78423	0.293187	0.188492	0.218794	0.299527	4.31173
400	-14451.2	-14438.6	-12.5552	0.610278	0.0344289	0.00623289	0.865568	0.00209142	0.00320305	0.00944948	0.00155913	0.100836	0.097203	0.0010288	0.00154932	0.0870015	0.0457228	0.00203859	0.495158	0.027456	0.175826	0.861877	0.0558069	0.127472	0.0430863	0.312599	0.127412	0.195377	0.19442	0.109199	0.1354	0.275152	0.0904518	0.0552346	0.317937	0.886473	2.74035	0.293187	0.188492	0.218794	0.299527	3.48461
410	-14457.8	-14443.1	-14.6606	0.654222	0.0452757	0.00251992	0.887434	0.00157375	0.00939212	0.00564445	0.000953428	0.11533	0.119666	0.00241867	0.00444937	0.132151	0.051633	0.00155026	0.502479	0.0334509	0.212877	0.827727	0.0591999	0.122639	0.0780237	0.38563	0.092905	0.151753	0.213812	0.123052	0.148905	0.263004	0.0994738	0.0644501	0.341105	0.906647	2.6878	0.293224	0.188516	0.218822	0.299437	3.69492
420	-14448.4	-14433	-15.3998	0.644012	0.0530525	0.00120394	1.04928	0.000494608	0.00357795	0.00348813	0.00210745	0.110322	0.101684	0.00120797	0.00623541	0.0994626	0.0516446	0.00627111	0.453679	0.0332908	0.185409	0.886965	0.0387346	0.212251	0.072631	0.281091	0.114808	0.149317	0.21038	0.115494	0.136845	0.2873	0.100665	0.0622941	0.335871	0.902212	2.69962	0.297053	0.187495	0.217637	0.297815	3.76889
