Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
33	-11892.9	-11902.8	9.95407	0.967241	0.00312743	0.00200948	0.0136124	0.00452037	0.0686827	0.0421797	0.00577712	0.034178	0.00755323	0.480658	0.00115209	0.000469935	0.0373966	0.0118924	0.151855	0.0904582	0.0368619	0.0966152	0.00531132	0.0186038	0.0361105	0.0366519	0.046217	0.125125	0.287863	0.0619858	0.0718221	0.404407	0.0487975	0.130372	0.466679	0.994353	2.4086	0.291692	0.18501	0.219964	0.303334	1.23189
34	-11890	-11900.5	10.5027	1.24831	0.00216815	0.00258789	0.0224321	0.00455872	0.0561147	0.0300074	0.00192787	0.0267354	0.0110506	0.437821	0.00134611	0.000702372	0.0307871	0.00843343	0.140465	0.124794	0.0392046	0.0926893	0.00208102	0.0255022	0.0322149	0.0405938	0.0414028	0.0852303	0.294346	0.0633819	0.0714279	0.413515	0.0720994	0.183699	0.540492	1.03145	2.24436	0.2926	0.185586	0.220649	0.301166	1.17562
35	-11892.3	-11903	10.6929	1.28799	0.00187745	0.00446585	0.011687	0.0030447	0.0690347	0.0390351	0.00463581	0.0272974	0.00689916	0.437821	0.00131031	0.00100901	0.0388484	0.0110607	0.108023	0.105389	0.0340334	0.0940997	0.00367676	0.034219	0.032166	0.035997	0.0507792	0.0850792	0.288496	0.0632695	0.0713013	0.412781	0.0790725	0.190638	0.54899	1.0351	2.22527	0.300023	0.181235	0.209935	0.308807	1.15641
36	-11891.8	-11901.9	10.0681	1.07012	0.000650159	0.00146852	0.0250181	0.00314412	0.0600655	0.0314413	0.0045445	0.0291363	0.0055791	0.448349	0.000959013	0.000773586	0.0477788	0.0114562	0.122224	0.104649	0.044747	0.124684	0.00582646	0.0287443	0.033293	0.0303668	0.0550754	0.108956	0.288074	0.0658164	0.0546588	0.412177	0.0703188	0.150729	0.496859	1.01071	2.3417	0.29851	0.18032	0.208876	0.312295	1.21997
37	-11895	-11906.1	11.1691	1.27867	0.00117021	0.00178208	0.031234	0.00387878	0.0527344	0.0512923	0.00453732	0.0306729	0.00996104	0.404689	0.0010418	0.0014284	0.0291723	0.00920224	0.155969	0.103903	0.0361805	0.0648346	0.00483141	0.0297836	0.0176125	0.0153382	0.0475798	0.0913026	0.283383	0.0647446	0.0859308	0.405465	0.0691738	0.18902	0.547028	1.03427	2.22968	0.29851	0.18032	0.208876	0.312295	1.10883
38	-11891.8	-11902.7	10.955	0.995511	0.00226209	0.00152795	0.0210285	0.00361328	0.0463542	0.0366738	0.00239532	0.033697	0.00686486	0.408311	0.000431808	0.00447963	0.0214687	0.00770852	0.144752	0.103903	0.0494622	0.0851034	0.00410368	0.0339282	0.0293692	0.024887	0.0593332	0.0860218	0.266992	0.0609999	0.0600836	0.447232	0.0786702	0.136057	0.475398	0.999252	2.38929	0.293727	0.177431	0.221551	0.307291	1.13166
39	-11897.7	-11907.5	9.83929	0.946019	0.00209864	0.00173948	0.0372154	0.00391045	0.0819321	0.0366407	0.00222256	0.0283517	0.00968342	0.458871	0.00131098	0.00435151	0.0380277	0.0147435	0.145386	0.125084	0.0244466	0.106614	0.00904296	0.0204601	0.0247266	0.0333402	0.0332782	0.0981618	0.264096	0.0603382	0.0572059	0.442381	0.0778169	0.126061	0.459903	0.990446	2.42359	0.293727	0.177431	0.221551	0.307291	1.24348
40	-11894	-11904.4	10.3924	1.24717	0.00138752	0.00381703	0.0292807	0.00556277	0.0618681	0.0356711	0.00410743	0.0340794	0.00941598	0.48677	0.000979155	0.00323981	0.0322384	0.00976737	0.120335	0.109553	0.0396352	0.0476893	0.00707662	0.0293361	0.0344119	0.0295584	0.0508759	0.11266	0.256578	0.0586206	0.0555774	0.429788	0.086775	0.183498	0.540242	1.03134	2.24492	0.291908	0.182524	0.220179	0.305388	1.18666
41	-11890.3	-11899.4	9.11523	1.0508	0.00149011	0.00152534	0.0204036	0.00461571	0.0713212	0.0340873	0.00283549	0.0331309	0.00958313	0.48677	0.00111134	0.00127812	0.0403737	0.0141221	0.201973	0.120861	0.0282486	0.0500762	0.00563021	0.0385022	0.0324203	0.0371782	0.0778212	0.108564	0.271754	0.0620878	0.0536773	0.428176	0.0757409	0.146977	0.491506	1.00793	2.35358	0.291908	0.182524	0.220179	0.305388	1.31536
42	-11886.1	-11896.3	10.1414	1.01662	0.000838868	0.00328625	0.0276293	0.00383894	0.0616887	0.0367193	0.00631936	0.0253133	0.00940772	0.47761	0.000474924	0.00123197	0.0317537	0.00573275	0.157004	0.120309	0.0282486	0.0559581	0.00955892	0.0244825	0.0374236	0.0265183	0.0615642	0.11817	0.270694	0.0618457	0.053468	0.417697	0.0781252	0.140257	0.48169	1.0027	2.37535	0.291908	0.182524	0.220179	0.305388	1.21291
43	-11890.3	-11900.6	10.3166	1.08677	0.00113615	0.00284811	0.0296762	0.00235341	0.0662881	0.0487491	0.00278776	0.0322411	0.00969525	0.437872	0.000508815	0.000792956	0.0442143	0.00707514	0.12464	0.11766	0.0263672	0.0861795	0.00970895	0.0380613	0.0333415	0.0232224	0.0496278	0.099349	0.276472	0.0631656	0.0546092	0.426612	0.0797926	0.153935	0.501364	1.01301	2.33169	0.291908	0.182524	0.220179	0.305388	1.19505
44	-11887.4	-11897.7	10.243	1.04606	0.00244643	0.00338564	0.0196715	0.00370282	0.0670377	0.0367861	0.00167185	0.0302308	0.0107052	0.446495	0.000225932	0.000888739	0.035439	0.0143328	0.132159	0.124352	0.0280026	0.113956	0.0013122	0.027104	0.030631	0.0380356	0.0340387	0.0984379	0.282205	0.0644755	0.04968	0.435458	0.0697434	0.146052	0.490171	1.00723	2.35655	0.291367	0.186437	0.219771	0.302425	1.20261
45	-11887.6	-11896.8	9.22997	0.889842	0.00150631	0.00188429	0.0154976	0.00479806	0.0583747	0.0371779	0.00100886	0.036653	0.004751	0.504906	0.00020283	0.00131682	0.0307632	0.0116142	0.163743	0.112815	0.0282777	0.105082	0.00488968	0.0250813	0.0436574	0.0458869	0.0648025	0.108518	0.215026	0.0654851	0.0547672	0.480049	0.0761552	0.114485	0.440939	0.979046	2.46553	0.298201	0.180738	0.227883	0.293179	1.30469
46	-11896.8	-11906.6	9.88455	0.904526	0.00252823	0.00244661	0.0172721	0.00438692	0.0477797	0.0372068	0.00403236	0.0389664	0.00448928	0.504906	0.000186952	0.0031673	0.0308116	0.0103889	0.181745	0.115456	0.0190363	0.0743038	0.0128931	0.0242853	0.0307637	0.0270006	0.045107	0.10637	0.21077	0.0641891	0.0734741	0.470548	0.074648	0.117533	0.446046	0.982185	2.45424	0.289185	0.175273	0.220993	0.314548	1.23916
47	-11891.5	-11900.7	9.19247	0.931909	0.000875682	0.00169497	0.0181009	0.00421574	0.035914	0.0318796	0.00286998	0.0346757	0.00552974	0.541396	0.00022836	0.00300242	0.0286374	0.0124265	0.150696	0.127132	0.0384481	0.088893	0.00771049	0.0281426	0.0443735	0.0328538	0.0685329	0.102163	0.258785	0.0634817	0.0579722	0.465363	0.0522344	0.123176	0.455283	0.987733	2.43381	0.2892	0.175282	0.220953	0.314564	1.30823
48	-11892.5	-11902.7	10.2445	1.00888	0.00262424	0.000877176	0.0202638	0.00507134	0.0482586	0.0379981	0.00266175	0.02846	0.00703217	0.478782	6.26953e-05	0.00273262	0.0278754	0.0191667	0.132585	0.118394	0.0407551	0.0789312	0.00395181	0.0290709	0.0305271	0.033969	0.0525902	0.0871762	0.28393	0.0696498	0.0477364	0.44331	0.068198	0.138723	0.479406	1.00146	2.38041	0.2892	0.175282	0.220953	0.314564	1.20264
49	-11893.1	-11902.6	9.56457	1.08348	0.000874252	0.00196864	0.0188234	0.0023377	0.0645521	0.0578835	0.00407445	0.0388197	0.00728269	0.469359	4.53345e-05	0.00343188	0.0270222	0.0142592	0.145759	0.114759	0.0453107	0.0876135	0.00981416	0.0204414	0.0342778	0.0322552	0.0692978	0.103306	0.251392	0.073671	0.0742354	0.433822	0.0635734	0.153302	0.500481	1.01256	2.33365	0.29785	0.173149	0.218264	0.310736	1.27026
50	-11887.3	-11898.3	11.0138	1.27321	0.000448803	0.00280901	0.0218515	0.00458883	0.0726882	0.0400604	0.00668131	0.0320414	0.00716451	0.42647	8.9852e-05	0.00132672	0.0287918	0.0207084	0.13332	0.109496	0.0279339	0.0564205	0.00141815	0.0258462	0.0259612	0.0348317	0.0434446	0.103552	0.240664	0.0751269	0.0710672	0.438561	0.07103	0.18807	0.545871	1.03377	2.23228	0.29785	0.173149	0.218264	0.310736	1.12439
51	-11889	-11899.7	10.6243	1.22256	0.000994852	0.00216137	0.031219	0.0028447	0.0606448	0.0436344	0.00181861	0.0295952	0.0119417	0.42647	0.000114227	0.00232649	0.0259519	0.0215824	0.124735	0.118735	0.0293861	0.0970906	0.00256468	0.0311994	0.0310981	0.0285029	0.0389807	0.104509	0.242889	0.0758215	0.0603245	0.442616	0.0738398	0.179117	0.534761	1.02892	2.2572	0.297139	0.179357	0.21351	0.309994	1.16359
52	-11886.7	-11897.9	11.1346	1.158	0.000199783	0.00276718	0.0280424	0.00420921	0.0656511	0.0287518	0.00121696	0.0308973	0.00325251	0.441579	0.00014246	0.00232173	0.033448	0.0111388	0.130553	0.0874631	0.041161	0.0585965	0.0022103	0.0256462	0.0358192	0.0303308	0.0474904	0.10746	0.243003	0.0758573	0.0603529	0.442824	0.0705022	0.16736	0.519587	1.02194	2.29112	0.297139	0.179357	0.21351	0.309994	1.11289
53	-11884.2	-11894.7	10.4925	1.22512	2.47214e-05	0.00220808	0.0310385	0.00380899	0.0475754	0.0313912	0.000681021	0.0402221	0.00193446	0.450536	7.49085e-05	0.00181654	0.024651	0.0114697	0.143252	0.124409	0.0273203	0.0913128	0.00855218	0.0256854	0.0331255	0.0208305	0.0548427	0.110846	0.251261	0.0720359	0.0783891	0.420517	0.0669506	0.179575	0.535337	1.02918	2.25591	0.289991	0.189175	0.21432	0.306514	1.17676
